AREA,Vict Age,Vict Descent,Crm Cd,Premis Cd,Status,dayofweek,day,month,Vict_Sex_F,Vict_Sex_M,Vict_Sex_X
20,27,7,442,203,4,0,29,8,1,0,0
1,21,7,230,108,4,6,17,4,0,1,0
19,48,7,354,502,4,0,3,10,1,0,0
1,39,1,440,702,4,4,2,12,1,0,0
9,46,18,740,502,4,2,20,7,0,1,0
19,58,7,740,122,4,6,18,12,0,1,0
20,52,18,230,101,1,6,13,11,0,0,1
2,22,7,354,502,4,2,2,11,1,0,0
3,41,2,354,501,4,4,2,12,1,0,0
3,90,17,624,501,2,6,1,5,0,1,0
20,34,1,354,502,4,1,2,8,0,1,0
21,60,12,341,406,4,3,20,10,1,0,0
3,21,18,330,101,4,4,1,7,0,0,1
17,39,12,320,501,4,2,21,12,1,0,0
9,32,2,230,502,2,5,8,1,0,1,0
10,53,17,310,702,4,2,14,12,1,0,0
9,26,17,354,248,4,3,6,10,0,1,0
11,15,7,210,101,4,5,13,8,0,1,0
11,23,7,626,501,2,5,16,7,1,0,0
21,47,12,310,120,4,0,17,1,0,1,0
21,86,17,649,501,4,2,20,4,0,1,0
1,21,17,625,834,4,0,24,10,1,0,0
4,36,7,745,502,4,0,22,8,1,0,0
4,34,17,331,101,4,4,18,11,0,1,0
20,32,1,662,502,4,1,12,4,0,1,0
3,38,2,522,403,4,0,24,1,0,1,0
3,7,7,627,502,2,6,18,9,0,1,0
3,38,2,740,210,4,5,5,11,0,1,0
13,71,7,251,501,4,5,4,6,0,1,0
7,24,7,626,203,2,3,24,2,1,0,0
15,83,17,310,501,4,5,20,8,0,1,0
15,50,17,440,501,4,0,19,12,1,0,0
1,39,7,331,123,4,4,25,2,0,1,0
3,35,17,901,501,2,2,16,3,1,0,0
4,27,7,236,102,1,4,5,8,1,0,0
10,42,7,624,108,2,5,10,12,0,1,0
7,22,7,910,203,4,3,31,3,0,1,0
7,25,7,310,502,4,5,19,3,0,1,0
2,34,7,624,222,4,1,16,8,1,0,0
6,22,2,761,738,4,4,4,2,0,1,0
10,42,7,230,158,1,3,14,4,0,1,0
11,55,5,740,101,4,5,17,12,0,1,0
2,19,9,740,502,4,1,22,3,1,0,0
6,59,3,354,501,4,4,4,11,1,0,0
21,21,12,330,108,4,2,5,10,1,0,0
